Source	Target	Weight_Source_Target	Weight_Target_Source	Annotation
disease	shame	12	3	TBD
disease	poor_circulation	2	5	TBD
disease	heredity	6	14	TBD
disease	high_cholesterol	7	11	TBD
genetic_variant	disease	33	15	TBD
disease	fall	2	3	TBD
disease	cure	2	6	TBD
disease	process	7	30	TBD
disease	disturbance	2	5	TBD
disease	cyst	2	3	TBD
disease	tinnitus	10	8	TBD
immune_dysfunction	disease	4	3	TBD
disease	situation	2	6	TBD
misbehavior	disease	5	3	TBD
disease	antigen	2	8	TBD
illness	pneumonia	13	15	TBD
pneumonia	complication	60	19	TBD
pneumonia	cough	11	4	TBD
pneumonia	pleurisy	5	3	TBD
bacterial_infection	pneumonia	82	355	TBD
smoking	pneumonia	5	2	TBD
inflammation	pneumonia	3	4	TBD
cancer	problem	318	91	TBD
depression	cancer	16	28	TBD
cancer	stress	56	99	TBD
inflammation	cancer	91	32	TBD
cancer	diabetes	11	22	TBD
cancer	lung_cancer	8	9	TBD
cancer	disease	24	48	TBD
cancer	condition	61	73	TBD
cancer	fear	25	15	TBD
cancer	effect	25	8	TBD
cancer	constipation	11	5	TBD
cancer	toxin	63	139	TBD
tumor	cancer	11	14	TBD
cancer	chemotherapy	9	33	TBD
cancer	chemical	412	1144	TBD
cancer	carcinogen	214	149	TBD
cancer	heavy_metal	13	25	TBD
cancer	compound	60	57	TBD
hpv_type	cancer	15	5	TBD
cancer	cell	14	33	TBD
cancer	ingredient	31	25	TBD
cancer	strain	10	7	TBD
cancer	pesticide	31	140	TBD
cancer	trauma	4	7	TBD
cancer	oncogene	6	10	TBD
cancer	substance	239	97	TBD
cancer	syndrome	12	3	TBD
cancer	gene	95	123	TBD
radioactive_gas	cancer	11	7	TBD
cancer	vitamin_d_deficiency	14	35	TBD
poor_prognosis	cancer	3	7	TBD
cancer	defect	3	11	TBD
cancer	human_papillomavirus	13	29	TBD
cancer	chemical_exposure	3	6	TBD
cancer	drug	35	66	TBD
cancer	uvb_ray	4	5	TBD
smoke	cancer	22	7	TBD
cancer	abnormality	5	15	TBD
protein	cancer	37	18	TBD
cancer	weakened_immune_system	2	5	TBD
microbe	cancer	15	8	TBD
cancer	lung_damage	2	3	TBD
growth_hormone	cancer	15	4	TBD
molecule	cancer	4	14	TBD
cancer	polyp	6	9	TBD
cancer	metal	10	22	TBD
cancer	pesticide_exposure	5	6	TBD
cancer	metabolic_change	4	5	TBD
cancer	fiber	3	9	TBD
cancer	particulate	2	5	TBD
stroke	heart_attack	12	56	TBD
ventricular_fibrillation	heart_attack	13	14	TBD
symptom	heart_attack	19	25	TBD
complication	heart_attack	57	27	TBD
injury	heart_attack	5	14	TBD
problem	heart_attack	22	10	TBD
change	heart_attack	7	3	TBD
arrhythmia	heart_attack	4	6	TBD
illness	heart_attack	2	8	TBD
illness	depression	115	51	TBD
illness	problem	122	59	TBD
illness	stress	114	514	TBD
illness	weight_loss	24	5	TBD
illness	anxiety	32	22	TBD
illness	diarrhea	118	50	TBD
